workflow_id,ts,provider,model,model_version,operation,prompt_version,temperature,input_tokens,output_tokens,total_tokens,cost_usd,latency_ms,status,finish_reason
05abf7e5-f3f0-4d44-a02a-86e95650ec17,2026-06-01T20:21:23+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1302,278,1580,0.00036,1226,success,stop
9e744539-3cea-4696-be6c-5948069db9cd,2026-06-01T09:28:01+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,571,178,749,0.00019,785,success,stop
af7d0970-07e6-4b44-89ff-5255b6398f53,2026-06-01T23:22:40+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1056,215,1271,0.00029,605,success,stop
c3ea9f89-a0b7-44fa-a105-03064a1b83d0,2026-06-01T12:13:04+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1366,75,1441,0.00025,736,success,stop
90450e07-3d58-490e-9b5d-e19bd556c470,2026-06-01T13:30:44+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1082,261,1343,0.00032,779,success,stop
528fae24-2e9a-4eef-b349-93531a1025a7,2026-06-01T13:51:59+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,688,216,904,0.00023,992,success,stop
0bb50b2a-0241-4de5-9d88-c834f922a943,2026-06-01T09:54:32+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1209,353,1562,0.00039,1197,success,stop
7df510d5-a50a-4744-a4d9-39c0f77951f9,2026-06-01T15:54:31+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,943,306,1249,0.00033,549,success,stop
4e67ec14-89cd-4e16-af7c-6650ba951781,2026-06-01T18:23:06+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,512,162,674,0.00017,784,success,stop
aea546d6-f616-41f0-84c0-bac88d518680,2026-06-01T16:39:13+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,377,237,614,0.0002,1223,success,stop
7da67ae4-2e13-43e8-82b2-a48a9e1b9929,2026-06-01T01:23:36+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,972,115,1087,0.00021,413,success,stop
c418758d-0542-4a26-8842-1cc802fb83cf,2026-06-01T00:08:19+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,978,307,1285,0.00033,1055,success,stop
29fa26e2-df33-4dc9-b9e1-2bf32a185325,2026-06-01T09:51:25+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1153,341,1494,0.00038,1360,success,stop
a3924d23-f047-47e7-a019-9b8952377387,2026-06-01T07:14:12+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1003,112,1115,0.00022,1189,success,stop
27c1b538-d8b2-41df-893b-d80f0ed373d7,2026-06-01T01:05:25+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,816,166,982,0.00022,1019,success,stop
54c681b3-145b-4458-9614-748acd390d6e,2026-06-01T05:56:57+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1080,354,1434,0.00037,880,success,stop
27924288-c074-4d7a-97e2-b4f524d532bd,2026-06-01T11:32:18+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,882,87,969,0.00018,719,success,stop
27924288-c074-4d7a-97e2-b4f524d532bd,2026-06-01T11:32:18+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1169,289,1458,0.00035,540,success,stop
a4bd65fb-7cba-4ca5-b54a-efb7db46a978,2026-06-01T04:58:38+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1092,374,1466,0.00039,999,success,stop
c4ee7e8c-710c-4777-93d7-73e826f501bf,2026-06-01T14:41:49+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,464,100,564,0.00013,1082,success,stop
993e92e3-c3cc-4279-93bd-af159bee4d55,2026-06-01T23:18:34+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1359,91,1450,0.00026,831,success,stop
a9b1b16c-e47b-4f9d-a2c5-5b48f22c3f54,2026-06-01T22:35:29+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,498,179,677,0.00018,654,success,stop
a9b1b16c-e47b-4f9d-a2c5-5b48f22c3f54,2026-06-01T22:35:29+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,450,207,657,0.00019,724,success,stop
fbd1a24d-9f33-47fd-96c0-116ee790d6c9,2026-06-01T16:35:48+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,998,107,1105,0.00021,967,success,stop
c9a961de-93fe-4a1a-9c78-51f4912b8a18,2026-06-01T19:46:41+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,652,277,929,0.00026,293,success,stop
06fa3876-de64-434f-a232-d596919601e4,2026-06-01T04:41:14+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1089,330,1419,0.00036,1115,success,stop
4357a6e0-9718-4470-bdfa-bc6872c9c44c,2026-06-01T09:22:45+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1210,274,1484,0.00035,1293,success,stop
038dcc5b-3d36-436d-9e64-e1d14d94f489,2026-06-01T09:36:32+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,818,264,1082,0.00028,631,success,stop
8a73ecdd-9fd9-462c-94fa-159419a7486b,2026-06-01T20:10:46+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,545,243,788,0.00023,839,success,stop
d113650a-461c-41f5-a638-d2af795d2129,2026-06-01T10:54:57+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,376,254,630,0.00021,1267,success,stop
0820ae1b-0f2f-45fa-932c-fa23e9d5e29f,2026-06-01T06:27:30+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,944,419,1363,0.00039,786,success,stop
d014b730-662a-49f7-905d-f56bd6b9c0ab,2026-06-01T17:32:16+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,354,64,418,9e-05,200,success,stop
8e5b261b-c3a5-4cc7-8f8b-4f088ab48f5a,2026-06-01T02:50:27+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,760,322,1082,0.00031,764,success,stop
a3f2e000-5aa0-451c-806b-0d4ea404912f,2026-06-01T21:26:35+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1036,215,1251,0.00028,1112,success,stop
c1612938-98fb-4d9e-9538-6b1026dc5395,2026-06-01T10:33:46+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,1349,164,1513,0.0003,579,success,stop
d834be58-35e0-4805-ad92-e0d9e01d1c5a,2026-06-01T14:31:07+00:00,openai,gpt-4o-mini,2026-05,chat.completions,v14,0.2,780,406,1186,0.00036,425,success,stop
